0	1000.00	joker5-maxwin
1	200.00	joker4-stacks
2	20.00	joker3-stacks
3	0.00	joker2-tease
4	200.00	hp-fullscreen
5	50.16	bonus5
6	10.13	bonus4
7	2.12	bonus3
8	2.00	bonuspaid-1-2x
9	2.61	bonuspaid-2-4x
10	4.94	bonuspaid-4-8x
11	10.26	bonuspaid-8-16x
12	18.70	bonuspaid-16-32x
13	50.11	bonuspaid-32-64x
14	0.00	bonus-silent-tease
15	0.00	bonus1-tease
16	0.00	bonus2-tease
17	0.33	green-two-only
18	0.00	0x
19	0.60	0-1x
20	1.80	1-2x
21	3.57	2-4x
22	7.57	4-8x
23	11.93	8-16x
24	20.54	16-32x
25	41.38	32-64x
26	87.86	64-128x
27	200.82	128-256x
28	395.31	256-512x
29	650.75	512-1024x
