ID	Avg Payout 	Label	Weights	Weighted Value	Chance
0	1000	joker5-maxwin	200	0.1666180697	0.0001666180697
1	200	joker4-stacks	300	0.04998542092	0.0002499271046
2	20	joker3-stacks	800	0.01332944558	0.0006664722789
3	0	joker2-tease	15000	0	0.01249635523
4	200	hp-fullscreen	200	0.03332361395	0.0001666180697
5	50.16	bonus5	700	0.02925146832	0.0005831632441
6	10.13	bonus4	2000	0.01687841046	0.001666180697
7	2.12	bonus3	12000	0.02119381847	0.009997084184
8	2	bonuspaid-1-2x	25000	0.04165451743	0.02082725872
9	2.61	bonuspaid-2-4x	7100	0.01543799725	0.005914941475
10	4.94	bonuspaid-4-8x	5300	0.02181197151	0.004415378848
11	10.26	bonuspaid-8-16x	2000	0.01709501395	0.001666180697
12	18.7	bonuspaid-16-32x	1000	0.01557878952	0.0008330903486
13	50.11	bonuspaid-32-64x	550	0.02296038655	0.0004581996918
14	0	bonus-silent-tease	14700	0	0.01224642813
15	0	bonus1-tease	17000	0	0.01416253593
16	0	bonus2-tease	15100	0	0.01257966426
17	0.33	green-two-only	290000	0.07972674637	0.2415962011
18	0	0x	550000	0	0.4581996918
19	0.6	0-1x	170000	0.08497521556	0.1416253593
20	1.8	1-2x	55000	0.08247594452	0.04581996918
21	3.57	2-4x	8000	0.02379306036	0.006664722789
22	7.57	4-8x	3800	0.02396467697	0.003165743325
23	11.93	8-16x	2000	0.01987753572	0.001666180697
24	20.54	16-32x	800	0.01368934061	0.0006664722789
25	41.38	32-64x	600	0.02068396718	0.0004998542092
26	87.86	64-128x	450	0.03293789311	0.0003748906569
27	200.82	128-256x	300	0.05019036114	0.0002499271046
28	395.31	256-512x	250	0.08233223643	0.0002082725872
29	650.75	512-1024x	200	0.1084267089	0.0001666180697
			1200350	1.08819261	1
